Archaeological structures,Country,Administration (1st level),Administration (2nd level),Structure type,Millennium BCE,Item type,Raw material,Total items
Adabrock,Scotland,Na h-Eileanan Siar,Ness (Isle of Lewis),Barrow,Undefined,Bead,Amber,2
Alalakh,Turkey,Hatay Province,Varisli,,2nd,Undefined,Amber,2
Alcalar 3,Portugal,Faro,Portimao - Mexilhoeira Grande,Tholos,3rd,Bead,Amber,5
Alcalar 4,Portugal,Faro,Portimao - Mexilhoeira Grande,Tholos,3rd,Bead,Amber,1
Aldea del Teriñuelo,Spain,Salamanca,Aldeavieja de Tormes,Passage grave,4th-3rd,Bead,Lignite,2
Aldea del Teriñuelo,Spain,Salamanca,Aldeavieja de Tormes,Passage grave,4th-3rd,Bead,Rock,1475
Aldeagordillo,Spain,Ávila,Ávila,Domestic,3rd,Bead,Rock,16
Alto da Feteira,Portugal,Leiria,Pombal - Arroteia,Dolmen,3rd,Bead,Shell,22
Alto del Reinoso,Spain,Burgos,Monasterio de Rodilla,Chamber,4th,Bead,Lignite,2
Alto del Reinoso,Spain,Burgos,Monasterio de Rodilla,Chamber,4th,Bead,Rock,19
Ambérieu-en-Bugey,France,Ain,Ambérieu-en-Bugey,,Undefined,Bead,Amber,6
Ambérieu-en-Bugey,France,Ain,Ambérieu-en-Bugey,,Undefined,Spacer,Amber,1
Analipsi,Greece,Heraklion,Hernossinos,,2nd,Undefined,Amber,3
Annecy,France,Haute-Savoie,Annecy,,3rd,Bead,Amber,1
Anta Grande do Zambujeiro,Portugal,Évora,Évora - Nossa Senhora da Tourega e Nossa Senhora de Guadalupe,Dolmen,3rd,Bead,Amber,168
Anta do Pinheiro dos Abraços - Bobadela,Portugal,Coimbra,Oliveira do Hospital - Bobadela,,Undefined,Bead,Amber,1
Anta dos Penedos de São Miguel,Portugal,Portalegre,Crato - Crato e Mártires-Flor da Rosa e Vale do Peso,,Undefined,Bead,Amber,1
Argelliers,France,Aude,Argelliers,,Undefined,Bead,Amber,7
Arras A4 - The Queen Barrow,England,Yorkshire - East Riding,Market Weighton,Barrow,1st,Ring,Amber,1
Arras barrow W57,England,Yorkshire - East Riding,Market Weighton,Barrow,1st,Ring,Amber,1
Arroyal I,Spain,Burgos,Alfoz de Quintanadueñas,Passage grave,4th,Bead,Lignite,2
Arroyal I,Spain,Burgos,Alfoz de Quintanadueñas,Passage grave,4th,Bead,Rock,1
Arroyo de las Vegas,Spain,Burgos,Sargentes de la Lora,Domestic,3rd,Bead,Rock,2
Ashville Trading Estate,England,Gloucestershire,Cheltenham,,3rd-2nd,Bead,Amber,1
Asine,Greece,Argolis,Asini,,2nd,Undefined,Amber,16
Athens Agora,Greece,Central Athens,Athens,,2nd,Undefined,Amber,1
Aubais,France,Gard,Aubais,,Undefined,Bead,Amber,2
Aumelas,France,Hérault,Aumelas,,Undefined,Bead,Amber,2
Ay Champagne,France,Marne,Ay Champagne,,3rd,Bead,Amber,1
Baigneurs - Charavines,France,Isère,Charavines,,Undefined,Bead,Amber,2
Baks - Levelény,Hungary,Csongrád-Csanád,Baks,,3rd-2nd,Bead,Amber,3
Balgay,Scotland,Angus,Dundee,,Undefined,Bead,Amber,1
Balmashanner,Scotland,Angus,Forfar,,2nd-1st,Bead,Amber,26
Bampfylde Hill,England,Devon,South Molton,Barrow,3rd-2nd,Bead,Amber,1
Barbey,France,Seine-et-Marne,Barbey,,Undefined,Bead,Amber,108
Barbey,France,Seine-et-Marne,Barbey,,Undefined,Undefined,Amber,1
Barbuise - Courtavant,France,Aube,Barbuise,,Undefined,Bead,Amber,32
Barnett Copse,England,Hampshire,Rowlands Castle,,3rd-2nd,Bead,Amber,6
Barnett Copse,England,Hampshire,Rowlands Castle,,3rd-2nd,Button,Amber,1
Barrow - Mount Caburn,England,East Sussex,Glynde,Barrow,3rd-2nd,Bead,Amber,2
Barrow - Site n4,England,Oxfordshire,Ashbury,Barrow,3rd-2nd,Bead,Amber,1
Barrow 1 - Hill Field,England,Norfolk,Warham,Barrow,3rd-2nd,Bead,Amber,41
Barrow 25 - Rollestone Field Group,England,Wiltshire,Winterbourne Stoke,Barrow,3rd-2nd,Button,Amber,1
