id,id,structure,country,adm1,adm2,struc_type,millennium
CNS4008,379,Cova da Moura,Portugal,Lisboa,Torres Vedras - São Pedro da Cadeira,Natural cave,4th-2nd
SET15004,377,Grutas da Quinta do Anjo 3 - Grutas do Casal do Pardo 3 - Covas da Moura 3,Portugal,Setúbal,Palmela - Quinta do Anjo,Artificial cave,3rd
AND01017,378,Fuente Álamo - Tumba 111,Spain,Almería,Cuevas del Almanzora,Pithos,3rd-2th
CNS3773,376,Praia da Samarra,Portugal,Lisboa,Sintra - São João das Lampas e Terrugem,Tholos,3rd-2th
SET15001,377,Grutas da Quinta do Anjo - Grutas do Casal do Pardo - Covas da Moura,Portugal,Setúbal,Palmela - Quinta do Anjo,Artificial cave,3rd
FRA0007,48,Baume de La Roche,France,Doubs ,Sancey-le-Long,,Undefined
ENG0001,13,Arras A4 - The Queen Barrow,England,Yorkshire - East Riding,Market Weighton,Barrow,1st
ENG0002,13,Arras barrow W57,England,Yorkshire - East Riding,Market Weighton,Barrow,1st
CL02002,14,Arroyal I,Spain,Burgos,Alfoz de Quintanadueñas,Passage grave,4th
CL02011,15,Arroyo de las Vegas,Spain,Burgos,Sargentes de la Lora,Domestic,3rd
ENG0033,34,Barrow Abney Moor,England,Derbyshire,Abney,Barrow,3rd-2nd
ENG0013,35,Barrow Aldbourne G6,England,Wiltshire,Aldbourne,Barrow,3rd-2nd
ENG0015,36,Barrow G 48,England,Wiltshire,Amesbury,Barrow,3rd-2nd
ENG0016,36,Barrow G 54,England,Wiltshire,Amesbury,Barrow,3rd-2nd
ENG0018,37,Barrow G1 - Newton Barrow,England,Wiltshire,South Newton,Barrow,3rd-2nd
ENG0023,41,Barrow G16 - Normanton Group,England,Wiltshire,Salisbury,Barrow,3rd-2nd
ENG0017,42,Barrow G1a - The Manton Barrow,England,Wiltshire,Preshute,Barrow,3rd-2nd
CNS19452,50,Bela Vista,Portugal,Lisboa,Sintra - Sintra,Tholos,3rd
AND08012,75,Caño Ronco I,Spain,Sevilla,Camas,Tholos,3rd
CL07001,76,Casetón de la Era,Spain,Valladolid,Villalba de los Alcores,Domestic,3rd
CNS597-2,285,Perdigões - T2,Portugal,Évora,Reguengos de Monsaraz - Reguengos de Monsaraz,Tholos,3rd
CVL02012,380,Costamar T31002,Spain,Castellón,Cabanes,Pit,2nd
CNS616,92,Comenda da Igreja 1,Portugal,Évora,"Montemor-o-Novo-Nossa Senhora da Vila, Nossa Senhora do Bispo e Silveiras",Dolmen,3rd
FRA0009,53,Berrias,France,Ardèche,Chandolas ,Dolmen,Undefined
FRA0030,381,Villevenard,France,Marne,Villevenard,Hypogeum,3rd
